,train_acc,val_acc
0,0.5340549861097806,0.5334224598930482
1,0.5683207203755148,0.5628342245989305
2,0.5797825462209024,0.5813725490196079
3,0.5834802184117253,0.5819073083778966
4,0.5880017243030942,0.5877005347593582
5,0.5987355110642781,0.5940285204991087
6,0.59951623718747,0.593048128342246
7,0.6129226937446115,0.6090017825311943
8,0.6206581090142734,0.622638146167558
9,0.6255340549861098,0.6260249554367201
10,0.6511686943193793,0.6504456327985739
11,0.6582958137752658,0.658288770053476
12,0.6643787719130185,0.6627450980392157
13,0.6874173771434046,0.6851158645276292
